TOWN11CD,TOWN11NM,POPULATION_2011,SIZE_FLAG,RGN11NM,COASTAL,COASTAL DETAILED,TTWA11CD,TTWA11NM,TTWA CLASSIFICATION,JOB DENSITY FLAG,INCOME FLAG,UNIVERSITY FLAG,Level4Qual_residents35-64_2011,KS4_2012-2013_counts,Key Stage 2 attainment_school year 2007 to 2008,Key Stage 4 attainment_school year 2012 to 2013,Level 2 at age 18,Level 3 at age 18,Activity at age 19: full-time higher education,Activity at age 19: sustained further education,Activity at age 19: appprenticeships,Activity at age 19: employment with earnings above 0,Activity at age 19: employment with earnings above 10K,Activity at age 19: out-of-work,Highest level qualification achieved by age 22: less than level 1,Highest level qualification achieved by age 22: level 1 to level 2,Highest level qualification achieved by age 22: level 3 to level 5,Highest level qualification achieved by age 22: level 6 or above,Highest level qualification achieved by age 22: average score,Education Score
E34000068,Studley BUA,6203,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000169,Birmingham,Majority conurbation,Working,Lower deprivation towns,No university,Medium,77,85.7,68.8,92.2,62.3,45.5,19.5,*,42.9,20.8,*,*,16.0,50.7,33.3,3.9,4.3
E34000086,Irthlingborough BUA,7502,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,92,68.2,55.4,75.0,34.8,16.3,31.5,21.7,47.8,27.2,12.0,*,30.9,51.1,*,3.0,-4.0
E34000109,Freshwater BUA,7829,Small Towns,South East,Coastal,Smaller seaside town,E30000070,Isle of Wight,Majority town and city (small),Residential,Higher deprivation towns,No university,Medium,71,56.1,46.5,76.1,42.3,28.2,25.4,14.1,54.9,31.0,*,*,30.0,44.3,*,3.2,-5.0
E34000115,Barnoldswick BUA,10435,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000182,Burnley,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,129,67.7,58.9,85.3,49.6,27.1,27.1,14.7,51.9,31.8,8.5,*,16.8,57.3,22.9,3.4,-1.3
E34000156,Wirksworth BUA,5038,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000200,Derby,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,57,70.9,59.6,75.4,47.4,26.3,24.6,*,43.9,31.6,*,*,30.9,49.1,*,3.3,-1.3
E34000161,Dalton-in-Furness BUA,7827,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000163,Barrow-in-Furness,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,112,78.6,57.1,79.5,42.9,26.8,38.4,26.8,50.9,32.1,*,*,22.3,53.6,22.3,3.4,-0.7
E34000174,Bedlington BUA,16974,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000173,Blyth and Ashington,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,213,59.7,51.2,86.9,40.4,25.8,35.2,25.4,50.7,23.9,12.7,*,31.2,42.8,23.3,3.3,-4.1
E34000175,Brigg BUA,6787,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000260,Scunthorpe,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,62,74.6,72.6,88.7,48.4,32.3,21.0,*,41.9,17.7,*,*,21.7,60.0,*,3.4,0.7
E34000181,Widnes BUA,61464,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Mixed,Higher deprivation towns,No university,Low,734,75.0,62.9,80.2,51.1,31.3,21.0,12.9,46.7,22.1,11.2,2.6,24.4,47.1,25.9,3.5,0.3
E34000182,Hethersett BUA,5520,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,63,76.2,68.3,90.5,55.6,31.7,20.6,17.5,57.1,19.0,*,*,18.5,47.7,*,3.6,1.6
E34000184,Coningsby Airfield BUA,5021,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000174,Boston,Majority town and city (small),Mixed,Mid deprivation towns,No university,Low,48,73.5,54.2,75.0,29.2,20.8,31.3,22.9,54.2,29.2,*,*,36.0,44.0,*,3.0,-4.0
E34000188,Amble BUA,6025,Small Towns,North East,Coastal,Smaller seaside town,E30000173,Blyth and Ashington,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,69,53.7,40.6,65.2,30.4,29.0,23.2,17.4,39.1,20.3,*,*,35.7,40.0,*,3.2,-7.1
E34000193,Skelton (Redcar and Cleveland) BUA,6535,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,91,85.1,60.4,86.8,50.5,27.5,24.2,16.5,47.3,14.3,11.0,*,14.6,60.7,*,3.5,1.4
E34000231,Seaford BUA,22584,Medium Towns,South East,Coastal,Large seaside town,E30000204,Eastbourne,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,223,71.3,64.1,87.0,52.0,31.4,14.3,8.5,53.4,25.6,5.8,*,17.9,56.7,24.6,3.5,0.2
E34000234,Ryhill BUA,5150,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000283,Wakefield and Castleford,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,56,61.5,60.7,76.8,39.3,17.9,*,*,48.2,23.2,*,*,41.1,39.3,*,3.0,-3.8
E34000242,Budleigh Salterton BUA,5185,Small Towns,South West,Coastal,Smaller seaside town,E30000206,Exeter,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,41,78.0,65.9,82.9,51.2,48.8,*,*,48.8,*,*,*,24.4,34.1,*,3.6,1.4
E34000250,Great Dunmow BUA,7749,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,76,82.9,60.5,86.8,43.4,26.3,14.5,*,59.2,36.8,*,*,32.0,46.7,*,3.3,-0.3
E34000271,Wideopen BUA,8976,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000245,Newcastle,Majority conurbation,Mixed,Mid deprivation towns,No university,Low,78,74.7,60.3,83.3,41.0,25.6,34.6,25.6,59.0,29.5,*,*,20.5,50.0,*,3.4,-1.0
E34000273,Frodsham BUA,9032,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,108,81.8,72.2,81.5,59.3,46.3,18.5,11.1,44.4,16.7,*,*,21.3,33.3,41.7,3.9,4.0
E34000278,Rothwell BUA,7694,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,96,63.6,41.7,75.0,31.3,15.6,21.9,14.6,62.5,29.2,10.4,*,38.3,42.6,*,3.0,-6.2
E34000290,Chard BUA,13074,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000293,Yeovil,Majority rural,Mixed,Higher deprivation towns,No university,Low,166,68.5,41.6,77.1,42.2,21.1,26.5,15.7,51.8,29.5,13.3,*,34.8,44.5,18.3,3.2,-4.3
E34000306,Hook (Hart) BUA,7934,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000164,Basingstoke,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,100,75.8,71.0,86.0,61.0,55.0,11.0,*,53.0,23.0,*,*,17.2,34.3,45.5,4.1,3.9
E34000310,Rainworth BUA,7693,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000240,Mansfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,87,70.5,60.9,80.5,51.7,28.7,31.0,18.4,52.9,33.3,13.8,*,27.1,49.4,*,3.5,-0.2
E34000313,Beverley BUA,30587,Medium Towns,Yorkshire and The Humber,Non-coastal,Large non-coastal town,E30000220,Hull,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,342,81.1,64.9,87.7,58.5,38.0,22.8,15.5,45.6,19.0,8.8,*,15.2,51.0,32.3,3.8,2.8
E34000327,Haverhill BUA,27041,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,322,65.5,57.1,92.2,42.5,28.0,18.9,13.0,58.4,34.5,7.5,*,34.3,41.4,23.1,3.3,-2.6
E34000353,St Leonards BUA,5984,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000175,Bournemouth,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,39,93.3,69.2,92.3,69.2,51.3,*,*,53.8,*,*,*,*,43.2,*,4.2,6.6
E34000360,Upton (Wakefield) BUA,5874,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000283,Wakefield and Castleford,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,85,73.3,75.3,94.1,41.2,23.5,22.4,14.1,47.1,30.6,*,*,31.3,55.4,*,3.1,-0.5
E34000363,Wincanton BUA,5435,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000293,Yeovil,Majority rural,Working,Mid deprivation towns,No university,Low,63,66.7,36.5,76.2,33.3,23.8,23.8,*,55.6,28.6,*,*,35.5,45.2,*,3.1,-6.0
E34000387,Chinnor BUA,5473,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000218,High Wycombe and Aylesbury,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,74,80.3,44.6,79.7,54.1,40.5,14.9,*,50.0,24.3,*,*,29.2,33.3,34.7,3.6,-0.2
E34000396,Thurcroft BUA,5115,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000261,Sheffield,Majority conurbation,Residential,Higher deprivation towns,No university,Low,62,66.7,45.2,72.6,32.3,16.1,29.0,19.4,35.5,*,16.1,*,41.7,45.0,*,2.7,-6.4
E34000403,Exmouth BUA,34432,Medium Towns,South West,Coastal,Large seaside town,E30000206,Exeter,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,389,67.4,51.7,83.8,42.9,25.7,16.7,12.9,48.8,23.1,6.2,*,38.2,39.5,20.7,3.2,-3.3
E34000409,Bolton-le-Sands BUA,6995,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000076,Lancaster and Morecambe,Majority town and city (small),Residential,Lower deprivation towns,No university,Medium,70,84.0,82.9,97.1,65.7,57.1,*,*,51.4,17.1,*,*,20.0,37.1,42.9,4.1,6.4
E34000416,Crediton BUA,7835,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000206,Exeter,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,94,72.0,58.5,84.0,43.6,21.3,22.3,10.6,50.0,23.4,*,*,34.0,43.6,*,3.2,-1.8
E34000430,Henley-on-Thames BUA,11494,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000256,Reading,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,100,81.0,68.0,83.0,64.0,50.0,*,*,50.0,24.0,*,*,17.8,44.6,34.7,3.7,3.4
E34000440,Snodland BUA,10211,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,125,85.5,54.4,79.2,39.2,16.0,16.0,10.4,51.2,32.8,10.4,*,44.1,37.8,*,2.9,-2.0
E34000458,Meltham BUA,7836,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000219,Huddersfield,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,97,81.9,79.4,95.9,64.9,51.5,18.6,16.5,48.5,20.6,*,*,*,48.5,41.2,4.1,5.8
E34000469,Minehead BUA,11981,Small Towns,South West,Coastal,Smaller seaside town,E30000095,Minehead,Majority rural,Working,Higher deprivation towns,No university,Low,111,64.8,48.6,88.3,45.9,27.0,26.1,10.8,50.5,23.4,*,*,31.3,41.1,26.8,3.4,-2.8
E34000473,Daventry BUA,23879,Medium Towns,East Midlands,Non-coastal,Large non-coastal town,E30000247,Northampton,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,315,71.8,50.5,74.0,37.5,28.6,18.1,12.1,58.7,30.2,8.3,3.2,35.4,37.7,23.7,3.2,-3.3
E34000482,Keyworth BUA,6733,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,71,90.4,70.4,94.4,63.4,49.3,21.1,14.1,42.3,23.9,*,*,19.7,36.6,42.3,4.1,5.6
E34000490,Deal BUA,30555,Medium Towns,South East,Coastal,Large seaside town,E30000241,Margate and Ramsgate,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,350,68.5,46.6,78.9,45.1,30.0,17.7,8.3,40.0,20.6,10.0,3.1,35.2,36.1,25.6,3.3,-3.1
E34000499,Hythe BUA,20201,Medium Towns,South East,Non-coastal,Large non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,233,75.2,55.4,79.0,42.5,21.5,23.6,15.5,56.7,33.5,9.9,*,30.9,47.6,19.3,3.2,-2.0
E34000504,Ibstock BUA,5650,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,89,58.7,51.7,86.5,49.4,33.7,23.6,15.7,57.3,36.0,*,*,28.6,41.8,27.5,3.5,-2.9
E34000508,Market Deeping BUA,13574,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,186,80.5,67.2,86.6,64.5,40.3,22.6,14.0,55.4,27.4,*,*,18.7,44.9,34.8,3.8,3.5
E34000509,Horncastle BUA,6815,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000264,Skegness and Louth,Majority town and city (small),Working,Higher deprivation towns,No university,Low,73,84.7,65.8,82.2,54.8,41.1,17.8,*,49.3,23.3,*,*,25.7,33.8,40.5,4.0,3.4
E34000521,Glastonbury BUA,8471,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000274,Street and Wells,Majority rural,Working,Higher deprivation towns,No university,Medium,89,71.3,60.7,83.1,51.7,28.1,16.9,12.4,42.7,14.6,*,*,22.5,53.9,*,3.4,-0.6
E34000527,Witham BUA,25353,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,270,65.3,56.7,82.2,37.0,20.4,16.3,10.7,54.4,34.1,11.9,*,46.3,36.2,16.8,3.0,-3.9
E34000550,Holmes Chapel BUA,5605,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000197,Crewe,Majority town and city (small),Mixed,Lower deprivation towns,No university,High,73,86.3,75.3,93.2,68.5,47.9,20.5,19.2,50.7,24.7,*,*,*,42.7,46.7,4.3,6.7
E34000553,Whaley Bridge BUA,5140,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000239,Manchester,Majority conurbation,Mixed,Lower deprivation towns,No university,Medium,67,70.3,70.1,91.0,68.7,52.2,*,*,46.3,23.9,*,*,*,50.8,38.5,4.1,3.8
E34000567,Gerrards Cross BUA,20633,Medium Towns,South East,Non-coastal,Large non-coastal town,E30000218,High Wycombe and Aylesbury,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,246,88.3,85.4,96.7,80.0,71.1,7.7,4.5,36.6,10.6,*,*,6.5,32.5,58.9,4.7,10.0
E34000573,Ulverston BUA,11356,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000163,Barrow-in-Furness,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,117,82.3,59.0,81.2,52.1,21.4,40.2,23.1,47.9,23.9,10.3,*,24.1,56.9,*,3.2,0.2
E34000574,Chapeltown BUA,23056,Medium Towns,Yorkshire and The Humber,Non-coastal,Large non-coastal town,E30000261,Sheffield,Majority conurbation,Mixed,Mid deprivation towns,No university,Low,269,73.7,70.3,84.4,50.9,29.7,27.5,18.6,60.2,29.4,10.0,*,20.2,52.4,26.2,3.6,1.2
E34000589,Hornsea BUA,8432,Small Towns,Yorkshire and The Humber,Coastal,Smaller seaside town,E30000220,Hull,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Medium,98,81.2,68.4,81.6,53.1,30.6,23.5,15.3,46.9,18.4,*,*,31.3,43.4,25.3,3.4,1.6
E34000591,Wem BUA,5870,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000262,Shrewsbury,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,70,82.4,64.3,87.1,57.1,35.7,20.0,*,44.3,17.1,*,*,18.6,50.0,*,3.6,2.1
E34000597,Loughborough BUA,59932,Medium Towns,East Midlands,Non-coastal,Large non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Working,Mid deprivation towns,University,Medium,497,72.8,50.7,79.5,43.5,36.2,19.9,11.9,48.5,22.7,6.6,3.4,29.9,36.7,30.1,3.5,-1.9
E34000628,Maghull BUA,26997,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000233,Liverpool,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,304,84.2,69.1,88.8,53.9,47.7,23.4,14.8,58.6,18.1,5.3,*,18.3,42.2,39.2,4.0,3.7
E34000633,Southport BUA,91703,Large Towns,North West,Coastal,Large seaside town,E30000233,Liverpool,Majority conurbation,Mixed,Higher deprivation towns,No university,Medium,1005,79.0,64.0,87.2,58.0,42.8,17.6,9.9,45.8,14.5,7.3,1.9,18.1,46.6,33.4,3.8,2.3
E34000645,Thornbury BUA,11687,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000180,Bristol,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,160,82.2,66.3,84.4,60.6,46.9,18.8,15.0,60.0,26.9,*,*,21.7,40.4,37.3,3.8,3.3
E34000656,Street BUA,12911,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000274,Street and Wells,Majority rural,Working,Mid deprivation towns,No university,Low,146,73.3,63.7,82.9,58.9,34.2,16.4,8.2,49.3,24.7,8.9,*,23.8,44.2,30.6,3.6,1.2
E34000682,Bishop's Waltham BUA,6275,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,71,65.3,56.3,78.9,46.5,35.2,22.5,14.1,45.1,19.7,*,*,25.0,44.4,*,3.4,-2.1
E34000692,Frome BUA,26203,Medium Towns,South West,Non-coastal,Large non-coastal town,E30000280,Trowbridge,Majority town and city (small),Residential,Higher deprivation towns,No university,Medium,329,72.5,55.0,69.0,41.9,25.8,17.9,9.4,50.8,22.5,8.5,3.0,38.2,37.6,21.2,3.0,-2.8
E34000697,Bagshot BUA,5430,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000212,Guildford and Aldershot,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,46,77.6,65.2,89.1,54.3,43.5,*,*,54.3,30.4,*,*,28.3,39.1,*,3.7,1.7
E34000710,Ross-on-Wye BUA,10582,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,K01000005,Cinderford and Ross-on-Wye,Majority rural,Working,Higher deprivation towns,No university,Medium,108,65.3,50.0,79.6,44.4,32.4,18.5,12.0,46.3,17.6,11.1,*,33.0,38.5,27.5,3.4,-3.0
E34000712,Storrington BUA,8618,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000196,Crawley,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,77,83.8,74.0,92.2,59.7,45.5,19.5,*,49.4,20.8,*,*,17.1,40.8,39.5,4.0,4.6
E34000732,Alnwick BUA,8116,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000173,Blyth and Ashington,Majority town and city (small),Working,Higher deprivation towns,No university,Medium,95,61.4,61.1,89.5,45.3,42.1,27.4,11.6,45.3,16.8,*,*,23.7,44.3,30.9,3.7,-1.5
E34000741,Billinge BUA,5896,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,52,84.0,69.2,96.2,59.6,38.5,38.5,34.6,57.7,36.5,*,*,*,60.4,*,3.8,3.5
E34000755,Hailsham BUA,19977,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000204,Eastbourne,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,228,65.0,54.8,75.9,39.0,21.9,17.1,10.1,53.9,28.1,6.6,7.0,30.7,44.7,17.5,3.0,-4.1
E34000762,Richmond BUA,8413,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000246,Northallerton,Majority rural,Mixed,Lower deprivation towns,No university,Medium,82,89.0,69.5,84.1,58.5,42.7,18.3,14.6,57.3,22.0,*,*,23.8,34.5,41.7,3.9,4.6
E34000766,Cheddar BUA,5199,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000285,Weston-super-Mare,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,64,80.6,67.2,95.3,64.1,46.9,*,*,43.8,20.3,*,*,25.4,33.3,39.7,3.9,3.8
E34000768,Oakley (Basingstoke and Deane) BUA,5086,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000164,Basingstoke,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,56,94.9,82.1,96.4,66.1,44.6,*,*,58.9,26.8,*,*,*,55.2,*,3.9,7.0
E34000776,Mablethorpe BUA,12531,Small Towns,East Midlands,Coastal,Smaller seaside town,E30000264,Skegness and Louth,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,100,60.2,64.0,75.0,44.0,20.0,23.0,13.0,43.0,14.0,14.0,*,33.0,52.0,*,3.1,-2.9
E34000786,Lutterworth BUA,9907,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,130,67.4,62.3,82.3,52.3,38.5,16.9,10.8,55.4,29.2,*,*,23.3,43.4,31.0,3.6,-0.1
E34000792,Sawston BUA,7275,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,77,78.7,67.5,84.4,51.9,32.5,18.2,*,48.1,27.3,*,*,23.7,46.1,*,3.4,1.2
E34000796,Sidmouth BUA,12569,Small Towns,South West,Coastal,Smaller seaside town,E30000263,Sidmouth,Majority rural,Mixed,Lower deprivation towns,No university,Medium,107,78.6,64.5,84.1,52.3,37.4,14.0,11.2,57.0,20.6,*,*,24.8,41.3,32.1,3.6,1.2
E34000815,Epping BUA,10289,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000234,London,Majority conurbation,Working,Lower deprivation towns,No university,Medium,81,83.0,64.2,90.1,63.0,37.0,18.5,12.3,49.4,25.9,*,*,21.0,48.1,30.9,3.7,3.1
E34000830,Torpoint BUA,7717,Small Towns,South West,Coastal,Smaller other coastal town,E30000253,Plymouth,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,81,80.2,58.0,72.8,44.4,37.0,22.2,12.3,51.9,16.0,*,*,30.4,48.1,*,3.3,-0.7
E34000839,Hilton (South Derbyshire) BUA,7714,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000200,Derby,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,98,77.7,56.1,87.8,55.1,35.7,23.5,15.3,61.2,26.5,*,*,17.5,49.5,30.9,3.7,1.1
E34000843,Burghfield Common BUA,5932,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000256,Reading,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,90,76.4,71.1,83.3,55.6,33.3,14.4,*,58.9,34.4,*,*,23.6,46.1,28.1,3.5,1.8
